x        Q2      f(x,Q2) 
0.000010 1.000000 11.728084 
0.000020 1.000000 9.828629 
0.000030 1.000000 8.860135 
0.000040 1.000000 8.229357 
0.000050 1.000000 7.769723 
0.000060 1.000000 7.412192 
0.000070 1.000000 7.121895 
0.000080 1.000000 6.878919 
0.000090 1.000000 6.670893 
0.000100 1.000000 6.489638 
0.000200 1.000000 5.401514 
0.000300 1.000000 4.840037 
0.000400 1.000000 4.471221 
0.000500 1.000000 4.200716 
0.000600 1.000000 3.989195 
0.000700 1.000000 3.816696 
0.000800 1.000000 3.671769 
0.000900 1.000000 3.547274 
0.001000 1.000000 3.438472 
0.002000 1.000000 2.777781 
0.003000 1.000000 2.430251 
0.004000 1.000000 2.198505 
0.005000 1.000000 2.026369 
0.006000 1.000000 1.890309 
0.007000 1.000000 1.778320 
0.008000 1.000000 1.683483 
0.009000 1.000000 1.601457 
0.010000 1.000000 1.529348 
0.020000 1.000000 1.083712 
0.030000 1.000000 0.845603 
0.040000 1.000000 0.686551 
0.050000 1.000000 0.568755 
0.060000 1.000000 0.476126 
0.070000 1.000000 0.400402 
0.080000 1.000000 0.336811 
0.090000 1.000000 0.282364 
0.100000 1.000000 0.235072 
0.200000 1.000000 -0.030068 
0.300000 1.000000 -0.123932 
0.400000 1.000000 -0.145693 
0.500000 1.000000 -0.131642 
0.600000 1.000000 -0.100955 
0.700000 1.000000 -0.065461 
0.800000 1.000000 -0.033066 
0.900000 1.000000 -0.009318 
0.999900 1.000000 0.001767 
0.000010 2.000000 12.786701 
0.000020 2.000000 10.599899 
0.000030 2.000000 9.488459 
0.000040 2.000000 8.766048 
0.000050 2.000000 8.240484 
0.000060 2.000000 7.832235 
0.000070 2.000000 7.501174 
0.000080 2.000000 7.224404 
0.000090 2.000000 6.987706 
0.000100 2.000000 6.781685 
0.000200 2.000000 5.550188 
0.000300 2.000000 4.919328 
0.000400 2.000000 4.507096 
0.000500 2.000000 4.205976 
0.000600 2.000000 3.971302 
0.000700 2.000000 3.780468 
0.000800 2.000000 3.620540 
0.000900 2.000000 3.483471 
0.001000 2.000000 3.363930 
0.002000 2.000000 2.644047 
0.003000 2.000000 2.270918 
0.004000 2.000000 2.025115 
0.005000 2.000000 1.844477 
0.006000 2.000000 1.703045 
0.007000 2.000000 1.587622 
0.008000 2.000000 1.490624 
0.009000 2.000000 1.407314 
0.010000 2.000000 1.334541 
0.020000 2.000000 0.895315 
0.030000 2.000000 0.668871 
0.040000 2.000000 0.521441 
0.050000 2.000000 0.414675 
0.060000 2.000000 0.332489 
0.070000 2.000000 0.266696 
0.080000 2.000000 0.212588 
0.090000 2.000000 0.167224 
0.100000 2.000000 0.128644 
0.200000 2.000000 -0.066538 
0.300000 2.000000 -0.116589 
0.400000 2.000000 -0.114620 
0.500000 2.000000 -0.091486 
0.600000 2.000000 -0.061855 
0.700000 2.000000 -0.033927 
0.800000 2.000000 -0.012715 
0.900000 2.000000 -0.001447 
0.999900 2.000000 -0.002260 
0.000010 3.000000 13.754583 
0.000020 3.000000 11.322021 
0.000030 3.000000 10.088577 
0.000040 3.000000 9.288221 
0.000050 3.000000 8.706767 
0.000060 3.000000 8.255657 
0.000070 3.000000 7.890242 
0.000080 3.000000 7.585059 
0.000090 3.000000 7.324304 
0.000100 3.000000 7.097539 
0.000200 3.000000 5.746530 
0.000300 3.000000 5.058071 
0.000400 3.000000 4.609827 
0.000500 3.000000 4.283325 
0.000600 3.000000 4.029468 
0.000700 3.000000 3.823456 
0.000800 3.000000 3.651125 
0.000900 3.000000 3.503672 
0.001000 3.000000 3.375276 
0.002000 3.000000 2.606867 
0.003000 3.000000 2.212862 
0.004000 3.000000 1.955493 
0.005000 3.000000 1.767694 
0.006000 3.000000 1.621556 
0.007000 3.000000 1.502937 
0.008000 3.000000 1.403735 
0.009000 3.000000 1.318903 
0.010000 3.000000 1.245095 
0.020000 3.000000 0.806208 
0.030000 3.000000 0.585210 
0.040000 3.000000 0.443861 
0.050000 3.000000 0.343097 
0.060000 3.000000 0.266677 
0.070000 3.000000 0.206377 
0.080000 3.000000 0.157486 
0.090000 3.000000 0.117071 
0.100000 3.000000 0.083182 
0.200000 3.000000 -0.077073 
0.300000 3.000000 -0.108514 
0.400000 3.000000 -0.098512 
0.500000 3.000000 -0.073991 
0.600000 3.000000 -0.046858 
0.700000 3.000000 -0.023322 
0.800000 3.000000 -0.006927 
0.900000 3.000000 0.000199 
0.999900 3.000000 -0.003237 
0.000010 4.000000 14.566904 
0.000020 4.000000 11.928205 
0.000030 4.000000 10.593071 
0.000040 4.000000 9.727979 
0.000050 4.000000 9.100207 
0.000060 4.000000 8.613625 
0.000070 4.000000 8.219804 
0.000080 4.000000 7.891141 
0.000090 4.000000 7.610515 
0.000100 4.000000 7.366622 
0.000200 4.000000 5.917078 
0.000300 4.000000 5.181322 
0.000400 4.000000 4.703658 
0.000500 4.000000 4.356532 
0.000600 4.000000 4.087172 
0.000700 4.000000 3.868957 
0.000800 4.000000 3.686701 
0.000900 4.000000 3.530976 
0.001000 4.000000 3.395553 
0.002000 4.000000 2.589176 
0.003000 4.000000 2.179133 
0.004000 4.000000 1.912945 
0.005000 4.000000 1.719699 
0.006000 4.000000 1.569983 
0.007000 4.000000 1.448931 
0.008000 4.000000 1.348047 
0.009000 4.000000 1.262050 
0.010000 4.000000 1.187448 
0.020000 4.000000 0.748760 
0.030000 4.000000 0.531846 
0.040000 4.000000 0.395006 
